molecule_chembl_id,canonical_smiles,standard_value
CHEMBL373017,C#Cc1ccc(C#Cc2csc(C)n2)cn1,2950.0
CHEMBL202003,Cc1nc(C#Cc2ccc(-c3ccc(F)cc3)nc2)cs1,10.2
CHEMBL380848,Cc1nc(C#Cc2ccc(Cl)nc2)cs1,10000.0
CHEMBL201774,Cc1nc(C#Cc2ccc(OS(C)(=O)=O)nc2)cs1,2340.0
CHEMBL201727,Cc1nc(C#Cc2ccc(F)nc2)cs1,833.0
CHEMBL372532,COc1ccc(C#Cc2csc(C)n2)cn1,426.0
CHEMBL202307,C=Cc1cncc(C#Cc2csc(C)n2)c1,2.01
CHEMBL201068,C#Cc1cncc(C#Cc2csc(C)n2)c1,19.2
CHEMBL382658,Cc1nc(C#Cc2cncc(C#CCO)c2)cs1,68.6
CHEMBL201771,COc1ccc(-c2cncc(C#Cc3csc(C)n3)c2)cc1,225.0
CHEMBL201787,Cc1nc(C#Cc2cncc(-c3ccc(F)cc3)c2)cs1,162.0
CHEMBL202116,Cc1nc(C#Cc2cncc(Br)c2)cs1,60.0
CHEMBL201939,C#Cc1nc(C#Cc2cccc(F)c2)cs1,2920.0
CHEMBL201781,OCC#Cc1nc(C#Cc2cccc(F)c2)cs1,10000.0
CHEMBL381921,Fc1cccc(C#Cc2csc(-c3cc(F)cc(F)c3)n2)c1,10000.0
CHEMBL382491,Fc1cccc(C#Cc2csc(Br)n2)c1,526.0
CHEMBL370559,Nc1nc(C#Cc2cccc(F)c2)cs1,78.6
CHEMBL201101,COC(=O)Nc1nc(C#Cc2cccnc2)cs1,10000.0
CHEMBL434188,O=C(Nc1nc(C#Cc2cccnc2)cs1)Nc1ccc(F)cc1F,10000.0
CHEMBL202041,C(#Cc1csc(NCc2ccccc2)n1)c1cccnc1,10000.0
CHEMBL381482,CC(=O)Nc1nc(C#Cc2cccnc2)cs1,1920.0
CHEMBL381031,Nc1nc(C#Cc2cccnc2)cs1,789.0
CHEMBL380881,Cc1nc(C#Cc2cccnc2)c(-c2ccccc2)s1,10000.0
CHEMBL202277,CCc1sc(C)nc1C#Cc1cccnc1,1243.0
CHEMBL201857,Cc1nc(C#Cc2cccnc2)c(C)s1,698.0
CHEMBL371254,Cc1nc(C#Cc2ccc3[nH]ccc3c2)cs1,10000.0
CHEMBL440218,Cc1nc(C#Cc2ccc3nccnc3c2)cs1,10000.0
CHEMBL202619,Cc1nc(C#Cc2cnc3ccccc3c2)cs1,10000.0
CHEMBL202610,Cc1nc(C#Cc2ccsc2)cs1,337.0
CHEMBL202331,Cc1nc(C#Cc2cccs2)cs1,475.0
CHEMBL371884,Cc1nc(C#Cc2cnccn2)cs1,1830.0
CHEMBL202042,Cc1nc(C#Cc2cncnc2)cs1,946.0
CHEMBL202203,Cc1nc(C#Cc2ccc(F)cn2)cs1,1093.0
CHEMBL414673,Cc1nc(C#Cc2cccc(C(N)=O)c2)cs1,1000.0
CHEMBL201974,Cc1nc(C#Cc2cccc(O)c2)cs1,654.0
CHEMBL202051,CC(=O)Nc1cccc(C#Cc2csc(C)n2)c1,2020.0
CHEMBL201943,Cc1nc(C#Cc2cccc(C#N)c2)cs1,0.94
CHEMBL381483,Cc1nc(C#Cc2cccc(OC(F)(F)F)c2)cs1,266.0
CHEMBL370142,Cc1nc(C#Cc2cccc(C(F)(F)F)c2)cs1,413.0
CHEMBL202124,Cc1nc(C#Cc2cccc(Cl)c2)cs1,129.0
CHEMBL202002,COc1ccccc1C#Cc1csc(C)n1,36.3
CHEMBL440220,COc1cccc(C#Cc2csc(C)n2)c1,49.0
CHEMBL202436,Cc1nc(C#Cc2cc(F)cc(F)c2)cs1,25.3
